title,author,description,status
"Za zamkniętymi drzwiami","B.A. Paris","Psychologiczny thriller o zamkniętej w klatce kobiecie, która stara się uciec od swojego oprawcy.","TO_READ"
"W cieniu kłamstw","B.A. Paris","Kryminał pełen kłamstw i sekretów, które doprowadzą do tragicznych konsekwencji.","TO_READ"
"Czarna Madonna","B.A. Paris","Thriller, w którym matka i córka stają w obliczu brutalnych tajemnic, które chcą ukryć.","TO_READ"
"Przyjaciółki","B.A. Paris","Powieść o grupie przyjaciół, w której każdy z nich ma coś do ukrycia.","TO_READ"
"The Darkest Flower","Loreth Anne White","Kryminał, który trzyma w napięciu od pierwszej strony, pełen mrocznych sekretów.","TO_READ"
"The Lullaby Girl","Loreth Anne White","Kryminał o kobiecie, która zmienia swoje życie po traumatycznym wydarzeniu.","TO_READ"
"The Girl Who Knew Too Much","Loreth Anne White","Zagadka morderstwa, które prowadzi do odkrycia złożonych, mrocznych powiązań.","TO_READ"
"The Marriage Lie","Loreth Anne White","Thriller o związku, który z pozoru jest idealny, ale kryje w sobie mroczną prawdę.","TO_READ"
"The Darkest Truth","Loreth Anne White","Powieść, która łączy dramat i tajemnicę, niepewność i pożądanie.","TO_READ"
"The Housemaid","Freida McFadden","Opowieść o kobiecie, która staje się ofiarą własnych decyzji i tragicznych wydarzeń.","READ"
"The Housemaid's Secret","Freida McFadden","Kontynuacja historii o kobiecie, która znalazła się w szponach kłamstw i zdrady.","TO_READ"
"The Stepdaughter","Freida McFadden","Kryminał o córce, która zmienia życie matki w koszmar.","TO_READ"
"The Good Sister","Freida McFadden","Wstrząsająca historia o kobiecie, która może być jedynym świadkiem morderstwa.","TO_READ"
"The Inmate","Freida McFadden","Thriller psychologiczny o więzieniu, które jest bardziej niebezpieczne, niż się wydaje.","TO_READ"
"The Shining","Stephen King","Klasyka horroru o mężczyźnie, który stopniowo popada w obłęd w opuszczonym hotelu.","READ"
"It","Stephen King","Ponury horror o grupie dzieci, które muszą stawić czoła pradawnemu złu.","TO_READ"
"Misery","Stephen King","Historia kobiety, która zostaje porwana i zmuszona do pisania dla swojego oprawcy.","TO_READ"
"Carrie","Stephen King","Pierwsza powieść Kinga, która opowiada o wampirze, który przejmuje władzę nad małym miasteczkiem.","TO_READ"
"Doctor Sleep","Stephen King","Kontynuacja „Lśnienia” opowiadająca o dorosłym Danny’m Torrance’u, który wciąż zmaga się z demonami przeszłości.","TO_READ"
"The Dark Tower","Stephen King","Epicka saga, która łączy w sobie elementy fantasy, horroru i kryminału.","TO_READ"
"The Chemistry of Death","Simon Beckett","Zawodowy patolog badający brutalne zbrodnie na wschodnim wybrzeżu Anglii.","TO_READ"
"Written in Bone","Simon Beckett","Mroczny thriller o śmierci młodej kobiety, która wydaje się być ofiarą seryjnego mordercy.","TO_READ"
"The Calling of the Grave","Simon Beckett","Patolog, który nie tylko bada ciała, ale również ściga zbrodnie.","TO_READ"
"The Restless Dead","Simon Beckett","Mroczny kryminał o tropieniu zbrodni, które wymykają się wszelkim wyjaśnieniom.","TO_READ"
"The Scent of Death","Simon Beckett","Niezwykły thriller pełen tajemnic i mrocznych sekretów.","TO_READ"
"The Ice Princess","Camilla Läckberg","Mroczny kryminał, który rozgrywa się w małej nadmorskiej miejscowości, pełen sekretów z przeszłości.","TO_READ"
"The Preacher","Camilla Läckberg","Kryminał, w którym detektyw stara się rozwikłać morderstwo w mrocznej scenerii małej wioski.","TO_READ"
"The Stonecutter","Camilla Läckberg","Historia o morderstwie, które prowadzi do odkrycia nieznanych tajemnic z przeszłości.","TO_READ"
"The Hidden Child","Camilla Läckberg","Dramat o kobietach, które mają swoje tajemnice i nieznane historie.","TO_READ"
"The Gallows Bird","Camilla Läckberg","Skrupulatnie skonstruowana opowieść o zbrodni i jej konsekwencjach.","TO_READ"
"The Drowning","Camilla Läckberg","Kryminał pełen zwrotów akcji, który porusza skomplikowane kwestie emocjonalne.","TO_READ"
"The Snowman","Jo Nesbø","Sensacyjna powieść kryminalna, w której detektyw stara się rozwiązać zagadkę serii brutalnych morderstw.","READ"
"The Leopard","Jo Nesbø","Kryminał, w którym detektyw ma do czynienia z mordercą, który nie zostawia żadnych śladów.","TO_READ"
"The Redbreast","Jo Nesbø","Pierwsza powieść o Harrym Hole, detektywie, który stara się rozwiązać morderstwo.","READ"
"Police","Jo Nesbø","Powieść o morderstwach i tajemniczych zagadkach, które prowadzą do nieoczekiwanych odkryć.","TO_READ"
"The Thirst","Jo Nesbø","Kryminał, który skupia się na poszukiwaniach seryjnego mordercy, który nie daje spokoju.","TO_READ"
"The Devil's Star","Jo Nesbø","Sensacyjna opowieść o wciąż nieuchwytnym przestępcy, który popełnia zbrodnie w wyjątkowy sposób.","TO_READ"
"Blood on Snow","Jo Nesbø","Powieść o brutalnych zbrodniach i detektywie, który stara się odkryć prawdę.","TO_READ"
